Brand,Location,Category,Estimated Year (Saibo),Confirmed Year (Client),Notes
A&W,"Smithville, ON",Restaurant,,,
Bangkok Buri,"Union Station, Toronto, ON",Restaurant,,,
Bombay Frankies,"320 Harwood Ave, Ajax, ON",Restaurant,,,
Canna Cabana,"905 Rymal Rd, Hamilton, ON",Retail,,,
Chipotle Mexican Grill,"492 Edinburgh Rd S, Guelph, ON",Restaurant,,,
Chipotle Mexican Grill,"Markville Mall, Markham, ON",Restaurant,,,
Dairy Queen,"2 King St S, Alliston, ON",Restaurant,,,
Edo Japan,"Square One, Mississauga, ON",Restaurant,,,
Firehouse Subs,"608 Santa Maria Blvd, Milton, ON",Restaurant,2018,,Estimated from Wayback (in gallery by Jan 2019)
Fresh Restaurant,"Sherway Gardens, Etobicoke, ON",Restaurant,,,
Goose Island Brewery,"58 The Esplanade, Toronto, ON",Restaurant,,,
Hagersville Secondary School Child Care,"Hagersville, ON",Education,,,
Indochino,"Square One Shopping Centre, Mississauga, ON",Retail,,,
KFC,"238 Dovedale Dr, Keswick, ON",Restaurant,2018,,Estimated from Wayback (in gallery by Jan 2019)
McDonald's,"Union Station, Toronto, ON",Restaurant,,,
Mr. Mikes Steakhouse,"295 Fourth Ave, St Catharines, ON",Restaurant,,,
New Plaza Development,"171 George Reynolds Dr, Courtice, ON",Commercial,,,
Noodles & Company,"Pickering, ON",Restaurant,2016,,Estimated from Wayback (in gallery by Apr 2017)
Odd Burger,"150 Taunton Rd West, Whitby, ON",Restaurant,,,
Odd Burger,"75 King St, Waterloo, ON",Restaurant,,,
Orangeville Nissan,"Mono, ON",Automotive,,,
Pizza Pizza,"Union Station, Toronto, ON",Restaurant,,,
Pur & Simple,"1940 Appleby Line, Burlington, ON",Restaurant,2019,,Estimated from Wayback (in gallery by Feb 2020)
Starbucks,"1170 Fischer-Hallman Rd, Kitchener, ON",Coffee,,,
Simply Smart Child Care & Montessori,"Courtice, ON",Education,,,
Sola Salon Studios,"1900 W 18th St, Houston, TX",Salon,2020,,Estimated from Wayback (in gallery by Jun 2021)
Sola Salon Studios,"1181 11th Ave, Calgary, AB",Salon,2020,,Estimated from Wayback (in gallery by Jun 2021)
Starbucks,"1177 Ritson Rd, Oshawa, ON",Coffee,,,
Starbucks,"Markville Mall, Markham, ON",Coffee,,,
Starbucks,"4140 Garden St, Whitby, ON",Coffee,,,
Starbucks,"9281 County Road 93, Midland, ON",Coffee,,,
Starbucks,"122 Martindale Cr, Ancaster, ON",Coffee,,,
Starbucks,"265 Weber St, Waterloo, ON",Coffee,,,
Starbucks,"431 Stone Road, Guelph, ON",Coffee,,,
The Bier Markt,"58 The Esplanade, Toronto, ON",Restaurant,2018,,Estimated from Wayback (in gallery by Jan 2019)
Tim Hortons,"ONroute Cambridge North, ON",Coffee,,,
Tim Hortons,"ONroute Cambridge South, ON",Coffee,,,
Tim Hortons,"Union Station, Toronto, ON",Coffee,,,
Tim Hortons,"152 West Dr, Brampton, ON",Coffee,2019,,Estimated from Wayback (in gallery by Feb 2020)
Urban Planet,"1360 16th St E, Owen Sound, ON",Retail,,,
Wendy's,"Airport Rd, Brampton, ON",Restaurant,2019,,"Estimated from Wayback (image dated Aug 2019)"
